Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
833.97	24.675020493217744	28.125	25.125	25.0625	25.272178649902344
837.86	24.675020493217744	28.0625	25.125	25.0625	25.272178649902344
841.67	24.700673706043744	28.0625	25.125	25.0	25.257118225097656
845.49	24.736588216223755	28.0625	25.125	25.0	25.257118225097656
849.35	24.762241446512053	28.0	25.0625	25.0	25.257118225097656
853.17	24.78789468407631	28.0	25.125	25.0	25.257118225097656
857.02	24.78789468407631	28.0	25.0625	25.0	25.257118225097656
860.87	24.803286630107323	27.9375	25.0625	25.0	25.257118225097656
864.7	24.803286630107323	28.0	25.0625	25.0	25.257118225097656
868.55	24.803286630107323	27.9375	25.0625	25.0	25.257118225097656
872.39	24.77763338817749	27.875	25.0625	25.0	25.257118225097656
876.23	24.762241446512053	27.8125	25.0625	25.0	25.257118225097656
880.06	24.772502740664642	27.875	25.0625	25.0	25.257118225097656
883.9	24.77763338817749	27.8125	25.0625	24.9375	25.257118225097656
887.75	24.77763338817749	27.8125	25.0625	24.9375	25.257118225097656
891.58	24.78276403598138	27.75	25.0625	24.9375	25.257118225097656
895.43	24.78789468407631	27.75	25.0625	24.9375	25.257118225097656
899.26	24.78789468407631	27.75	25.0625	24.9375	25.257118225097656
903.1	24.79815598113928	27.6875	25.0625	25.0	25.242067337036133
906.95	24.79815598113928	27.6875	25.0625	25.0	25.242067337036133
910.79	24.803286630107323	27.6875	25.0625	25.0	25.242067337036133
914.63	24.808417279366402	27.6875	25.0625	25.0	25.242067337036133
918.47	24.77763338817749	27.5625	25.0625	25.0	25.242067337036133
922.32	24.77763338817749	27.625	25.0625	25.0	25.242067337036133
926.16	24.78789468407631	27.5625	25.0625	24.9375	25.242067337036133
929.95	24.78789468407631	27.625	25.0625	24.9375	25.242067337036133
933.75	24.808417279366402	27.5	25.0	24.9375	25.242067337036133
937.58	24.803286630107323	27.5	25.0	24.9375	25.242067337036133
941.43	24.808417279366402	27.5	25.0	24.9375	25.242067337036133
945.26	24.81867857875768	27.4375	25.0	24.9375	25.242067337036133
949.1	24.81867857875768	27.4375	25.0	24.9375	25.242067337036133
952.94	24.834070530027383	27.4375	25.0	24.9375	25.242067337036133
956.77	24.839201181032696	27.4375	25.0	24.9375	25.242067337036133
960.62	24.85972378796432	27.4375	25.0	24.9375	25.242067337036133
964.46	24.839201181032696	27.375	25.0	24.9375	25.200578689575195
968.28	24.839201181032696	27.375	25.0	24.9375	25.200578689575195
972.14	24.849462483916433	27.375	25.0	24.9375	25.200578689575195
975.98	24.849462483916433	27.3125	25.0625	24.9375	25.200578689575195
979.82	24.849462483916433	27.3125	25.0	25.0	25.200578689575195
983.67	24.85972378796432	27.3125	25.0625	24.9375	25.200578689575195
987.51	24.864854440424825	27.25	25.0625	25.0	25.200578689575195
991.33	24.869985093176364	27.3125	25.0625	24.9375	25.200578689575195
995.19	24.875115746218945	27.25	25.0625	25.0	25.200578689575195
999.04	24.88024639955256	27.25	25.0625	25.0	25.200578689575195
1002.85	24.88024639955256	27.1875	25.0625	25.0	25.200578689575195
1006.7	24.900769015797415	27.1875	25.0625	25.0	25.200578689575195
1010.56	24.91103032566607	27.25	25.0625	25.0	25.200578689575195
1014.38	24.91103032566607	27.1875	25.0625	25.0	25.200578689575195
1018.23	24.91103032566607	27.125	25.0625	25.0	25.200578689575195
1022.07	24.91103032566607	27.125	25.0625	25.0	25.200578689575195
1025.89	24.94181426225696	27.125	25.0625	25.0	25.200578689575195
1029.76	24.93668360543088	27.125	25.0625	25.0	25.200578689575195
1033.58	24.946944919374072	27.125	25.0625	25.0	25.200578689575195
1037.4	24.931552948895842	27.0625	25.0625	25.0	25.200578689575195
1041.26	24.94181426225696	27.0625	25.0625	25.0	25.200578689575195
1045.11	24.92129163669888	27.0625	25.0625	25.0	25.200578689575195
1048.93	24.94181426225696	27.0	25.0625	25.0	25.200578689575195
1052.78	24.92129163669888	27.0	25.0625	25.0	25.200578689575195
1056.63	24.93668360543088	27.0	25.0625	25.0	25.200578689575195
1060.46	24.962336892471647	26.9375	25.0625	25.0	25.200578689575195
1064.31	24.967467550752918	27.0	25.0625	25.0	25.200578689575195
1068.16	24.952075576782228	27.0	25.0625	25.0	25.200578689575195
1071.99	24.952075576782228	26.9375	25.0625	25.0	25.200578689575195
1075.81	24.962336892471647	26.875	25.0625	25.0	25.200578689575195
1079.65	24.982859527342953	26.875	25.0625	25.0	25.200578689575195
1083.51	24.972598209325223	26.875	25.0625	25.0	25.189205169677734
1087.32	24.982859527342953	26.875	25.0625	25.0	25.189205169677734
1091.19	24.972598209325223	26.875	25.0625	25.0	25.189205169677734
1095.03	24.967467550752918	26.875	25.0625	25.0	25.189205169677734
1098.86	24.962336892471647	26.8125	25.0625	25.0	25.189205169677734
1102.7	24.97772886818857	26.8125	25.0625	25.0	25.189205169677734
1106.54	24.972598209325223	26.8125	25.0625	25.0	25.189205169677734
1110.38	24.982859527342953	26.8125	25.0625	25.0	25.189205169677734
1114.21	24.987990186788373	26.75	25.0625	25.0	25.189205169677734
1118.08	24.97772886818857	26.75	25.0625	25.0	25.189205169677734
1121.9	24.967467550752918	26.75	25.0625	25.0	25.189205169677734
1125.75	24.972598209325223	26.75	25.0625	25.0	25.189205169677734
1129.58	24.962336892471647	26.75	25.0625	25.0	25.189205169677734
1133.43	24.931552948895842	26.6875	25.0625	25.0	25.189205169677734
1137.29	24.926422292651843	26.6875	25.0625	25.0	25.189205169677734
1141.1	24.94181426225696	26.625	25.0625	25.0	25.189205169677734
1144.91	24.92129163669888	26.6875	25.0625	25.0	25.192888259887695
1148.69	24.92129163669888	26.6875	25.0625	25.0	25.192888259887695
1152.54	24.94181426225696	26.6875	25.0625	25.0	25.192888259887695
1156.38	24.962336892471647	26.625	25.0625	25.0	25.192888259887695
1160.19	24.952075576782228	26.5625	25.0625	25.0	25.192888259887695
1163.95	24.962336892471647	26.625	25.0625	25.0	25.192888259887695
1167.75	24.982859527342953	26.625	25.0625	25.0	25.192888259887695
1171.57	24.962336892471647	26.625	25.0625	25.0	25.192888259887695
1175.43	24.946944919374072	26.5625	25.0	25.0	25.192888259887695
1179.27	24.952075576782228	26.5	25.0	25.0	25.192888259887695
1183.1	24.94181426225696	26.5625	25.0625	25.0	25.192888259887695
1186.93	24.952075576782228	26.5	25.0	25.0	25.192888259887695
1190.76	24.946944919374072	26.5625	25.0625	25.0	25.192888259887695
1194.63	24.931552948895842	26.5	25.0625	25.0	25.192888259887695
1198.45	24.931552948895842	26.5	25.0625	25.0	25.192888259887695
1202.31	24.946944919374072	26.5	25.0625	25.0	25.192888259887695
1206.14	24.952075576782228	26.4375	25.0625	25.0	25.192888259887695
1209.98	24.972598209325223	26.4375	25.0625	25.0	25.192888259887695
1213.81	24.97772886818857	26.4375	25.0	25.0	25.192888259887695
1217.66	24.97772886818857	26.375	25.0625	25.0	25.192888259887695
1221.5	24.993120846524835	26.4375	25.0625	25.0	25.192888259887695
1225.33	24.987990186788373	26.4375	25.0	25.0	25.192888259887695
1229.2	24.982859527342953	26.375	25.0	25.0	25.192888259887695
1233.03	24.993120846524835	26.4375	25.0	25.0	25.192888259887695
1236.87	25.00338216687087	26.375	25.0	25.0	25.192888259887695
1240.71	25.00338216687087	26.375	25.0	25.0	25.192888259887695
1244.53	24.993120846524835	26.375	25.0	25.0	25.192888259887695
1248.39	25.00338216687087	26.375	25.0	25.0	25.192888259887695
1252.22	25.013643488381057	26.3125	25.0	25.0	25.192888259887695
1256.06	24.993120846524835	26.3125	25.0	25.0	25.192888259887695
1259.91	24.97772886818857	26.3125	25.0	25.0	25.192888259887695
1263.75	24.982859527342953	26.3125	25.0	25.0	25.181516647338867
1267.58	24.95720623448142	26.3125	25.0	25.0	25.181516647338867
1271.39	24.952075576782228	26.3125	25.0	25.0	25.181516647338867
1275.17	24.946944919374072	26.1875	25.0	25.0	25.181516647338867
1279.0	24.91103032566607	26.25	25.0	25.0	25.181516647338867
1282.87	24.895638361299643	26.25	24.9375	24.9375	25.181516647338867
1286.69	24.89050770709291	26.25	24.9375	24.9375	25.181516647338867
1290.56	24.88024639955256	26.25	24.9375	24.875	25.181516647338867
1294.37	24.900769015797415	26.25	24.9375	24.875	25.181516647338867
1298.22	24.92129163669888	26.125	24.875	24.875	25.181516647338867
1302.05	24.94181426225696	26.1875	24.875	24.8125	25.181516647338867
1305.91	24.972598209325223	26.1875	24.875	24.8125	25.181516647338867
1309.74	24.987990186788373	26.125	24.8125	24.8125	25.181516647338867
1313.56	24.987990186788373	26.125	24.8125	24.8125	25.181516647338867
1317.43	24.987990186788373	26.1875	24.8125	24.8125	25.181516647338867
1321.26	25.013643488381057	26.1875	24.8125	24.75	25.181516647338867
1325.1	25.013643488381057	26.1875	24.8125	24.75	25.181516647338867
1328.94	24.972598209325223	26.125	24.8125	24.75	25.181516647338867
1332.81	24.993120846524835	26.125	24.8125	24.75	25.181516647338867
1336.62	24.993120846524835	26.125	24.8125	24.75	25.181516647338867
1340.46	24.987990186788373	26.125	24.8125	24.75	25.181516647338867
1344.29	24.993120846524835	26.0625	24.8125	24.75	25.181516647338867
1348.14	24.993120846524835	26.125	24.8125	24.75	25.181516647338867
1352.0	25.02903547282913	26.125	24.8125	24.75	25.181516647338867
1355.83	25.034166134893894	26.125	24.8125	24.75	25.181516647338867
1359.68	25.013643488381057	26.125	24.8125	24.75	25.181516647338867
1363.49	24.993120846524835	26.125	24.8125	24.75	25.181516647338867
1367.32	24.987990186788373	26.125	24.8125	24.75	25.181516647338867
1371.12	24.993120846524835	26.0625	24.8125	24.75	25.181516647338867
1374.98	24.982859527342953	26.0625	24.8125	24.75	25.181516647338867
1378.79	24.972598209325223	26.0625	24.8125	24.75	25.181516647338867
1382.62	24.972598209325223	26.0625	24.875	24.8125	25.170143127441406
1386.46	24.95720623448142	26.0625	24.875	24.8125	25.170143127441406
1390.31	24.967467550752918	26.0625	24.875	24.8125	25.170143127441406
1394.14	24.972598209325223	26.0625	24.875	24.8125	25.170143127441406
1397.98	25.00338216687087	26.0625	24.875	24.8125	25.170143127441406
1401.81	25.013643488381057	26.0625	24.875	24.8125	25.170143127441406
1405.66	24.987990186788373	26.0	24.875	24.8125	25.170143127441406
1409.49	25.00338216687087	26.0625	24.875	24.8125	25.170143127441406
1413.33	25.01877414957271	26.0625	24.875	24.8125	25.170143127441406
1417.17	25.013643488381057	26.0	24.875	24.8125	25.170143127441406
1421.03	24.993120846524835	26.0	24.875	24.8125	25.170143127441406
1424.85	25.008512827480445	26.0	24.9375	24.8125	25.170143127441406
1428.7	25.013643488381057	26.0	24.9375	24.8125	25.170143127441406
1432.55	25.01877414957271	26.0625	24.875	24.8125	25.170143127441406
1436.4	25.0239048110554	26.0	24.9375	24.875	25.170143127441406
1440.22	25.01877414957271	26.0	24.9375	24.875	25.170143127441406
1444.07	25.034166134893894	26.0	24.9375	24.875	25.173826217651367
1447.88	25.085472771548666	25.9375	24.9375	24.875	25.173826217651367
1451.74	25.085472771548666	26.0	24.9375	24.875	25.173826217651367
1455.59	25.075211441889405	25.9375	24.9375	24.875	25.173826217651367
