Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
680.12	24.54162390381098	45.625	24.75	24.6875	25.00690269470215
683.94	24.515970736095916	45.8125	24.75	24.6875	25.00690269470215
687.87	24.505709471047158	46.0	24.75	24.6875	25.00690269470215
691.72	24.52110136905685	46.125	24.75	24.6875	25.00690269470215
695.54	24.52110136905685	46.25	24.75	24.6875	25.00690269470215
699.39	24.52110136905685	46.375	24.75	24.6875	25.00690269470215
703.23	24.526232002308824	46.5625	24.75	24.6875	25.00690269470215
707.13	24.515970736095916	46.75	24.75	24.6875	25.00690269470215
711.0	24.510840103426016	46.875	24.75	24.6875	25.00690269470215
714.85	24.52110136905685	46.9375	24.75	24.6875	25.00690269470215
718.68	24.53136263585184	47.125	24.75	24.6875	25.00690269470215
722.52	24.54162390381098	47.25	24.75	24.6875	25.00690269470215
726.34	24.53136263585184	47.375	24.75	24.6875	25.00690269470215
730.21	24.526232002308824	47.5	24.75	24.6875	25.00690269470215
734.05	24.515970736095916	47.625	24.75	24.6875	25.00690269470215
737.89	24.52110136905685	47.75	24.75	24.6875	25.00690269470215
741.74	24.510840103426016	47.875	24.75	24.6875	25.00690269470215
745.65	24.500578838959335	47.9375	24.75	24.6875	25.00690269470215
749.49	24.505709471047158	48.0625	24.75	24.6875	25.00690269470215
753.35	24.52110136905685	48.1875	24.75	24.6875	25.00690269470215
757.23	24.515970736095916	48.3125	24.75	24.6875	25.00690269470215
761.11	24.52110136905685	48.375	24.75	24.75	25.00690269470215
765.0	24.510840103426016	48.5	24.75	24.75	25.00690269470215
768.88	24.52110136905685	48.625	24.75	24.75	25.00690269470215
772.76	24.536493269685888	48.6875	24.75	24.75	25.00690269470215
776.62	24.54162390381098	48.8125	24.75	24.75	25.00690269470215
780.53	24.55188517293427	48.875	24.75	24.75	25.00690269470215
784.36	24.53136263585184	49.0	24.75	24.75	25.00690269470215
788.23	24.52110136905685	49.0625	24.75	24.75	25.00690269470215
792.14	24.510840103426016	49.125	24.75	24.75	25.00690269470215
796.05	24.505709471047158	49.25	24.75	24.75	25.00690269470215
799.91	24.505709471047158	49.3125	24.75	24.75	25.00690269470215
803.83	24.49031757565681	49.375	24.75	24.75	25.00690269470215
807.74	24.49031757565681	49.5	24.75	24.75	25.00690269470215
811.65	24.49031757565681	49.5625	24.75	24.75	25.00690269470215
815.5	24.485186944442102	49.625	24.75	24.75	25.00690269470215
819.34	24.49031757565681	49.6875	24.75	24.75	25.00690269470215
823.26	24.49031757565681	49.8125	24.75	24.75	25.00690269470215
827.17	24.510840103426016	49.875	24.75	24.75	25.00690269470215
831.01	24.500578838959335	49.9375	24.75	24.75	25.00690269470215
834.89	24.510840103426016	50.0625	24.75	24.75	25.00690269470215
838.77	24.510840103426016	50.0625	24.75	24.75	25.00690269470215
842.51	24.510840103426016	50.125	24.75	24.75	25.00690269470215
846.38	24.515970736095916	50.1875	24.75	24.75	25.00690269470215
