Time [s]	Voltage set [V]	Voltage measured [V]
59.27	28.5	28.0013
59.4	28.5	28.5005
59.54	28.5	28.5005
59.67	28.5	28.5005
59.9	29.0	28.5005
60.04	29.0	28.501
60.15	29.0	28.501
60.29	29.0	28.501
60.42	29.0	29.0008
60.56	29.0	29.0008
60.69	29.0	29.0008
60.89	29.5	29.0008
61.03	29.5	29.0008
61.16	29.5	29.4995
61.26	29.5	29.4995
61.39	29.5	29.4995
61.53	29.5	29.4995
61.67	29.5	29.4995
61.8	29.5	29.5013
61.94	30.0	29.5013
62.04	30.0	29.5013
62.17	30.0	29.5013
62.27	30.0	29.5013
62.39	30.0	30.0008
62.5	30.0	30.0008
62.63	30.0	30.0008
62.77	30.0	30.0008
62.89	30.0	30.0008
63.03	29.5	30.0013
63.18	29.5	30.0013
63.31	29.5	30.0013
63.44	29.5	29.5017
63.54	29.5	29.5017
63.67	29.5	29.5017
63.8	29.5	29.5017
63.93	29.5	29.5017
64.07	29.0	29.5017
64.21	29.0	29.5018
64.34	29.0	29.5018
64.47	29.0	29.5018
64.6	29.0	29.5018
64.74	29.0	29.5018
64.87	29.0	29.0014
65.07	28.5	29.0014
65.21	28.5	29.0014
65.34	28.5	28.5032
65.47	28.5	28.5032
65.6	28.5	28.5032
65.73	28.5	28.5032
65.86	28.5	28.5032
65.99	28.5	28.5012
66.13	28.0	28.5012
66.26	28.0	28.5012
66.39	28.0	28.0018
66.54	28.0	28.0018
66.68	28.0	28.0018
66.81	28.0	28.0018
66.94	28.0	28.0018
67.17	27.5	28.0015
67.3	27.5	28.0015
67.41	27.5	28.0015
67.54	27.5	28.0015
67.66	27.5	28.0015
67.79	27.5	27.5018
67.91	27.5	27.5018
68.04	27.5	27.5018
68.17	27.0	27.5018
68.3	27.0	27.5018
68.43	27.0	27.5018
68.58	27.0	27.5018
68.71	27.0	27.5018
68.85	27.0	27.0022
68.96	27.0	27.0022
69.17	26.5	27.0022
69.3	26.5	27.0022
69.44	26.5	27.0022
69.57	26.5	26.504
69.7	26.5	26.504
69.83	26.5	26.504
69.97	26.5	26.5037
70.15	26.0	26.5037
70.3	26.0	26.5037
70.44	26.0	26.5037
70.57	26.0	26.0038
70.7	26.0	26.0038
70.84	26.0	26.0038
70.97	26.0	26.0038
71.1	26.0	26.0038
71.22	25.5	26.0038
71.37	25.5	26.0038
71.51	25.5	26.0038
71.64	25.5	26.0038
71.77	25.5	26.0038
71.9	25.5	25.5028
72.02	25.5	25.5028
72.23	25.0	25.5028
72.37	25.0	25.1909
72.49	25.0	25.1909
72.61	25.0	25.1909
72.74	25.0	25.1909
72.86	25.0	25.1909
73.01	25.0	25.0039
73.13	25.0	25.0039
73.29	24.5	25.0039
73.42	24.5	25.0039
73.55	24.5	24.5034
73.68	24.5	24.5034
73.82	24.5	24.5034
73.93	24.5	24.5034
74.06	24.5	24.5034
74.25	24.0	24.5029
74.39	24.0	24.5029
74.52	24.0	24.5029
74.66	24.0	24.0036
74.79	24.0	24.0036
74.93	24.0	24.0036
75.06	24.0	24.0036
75.19	24.0	24.0036
75.34	23.5	24.0036
75.47	23.5	24.0035
75.61	23.5	24.0035
75.74	23.5	24.0035
75.87	23.5	24.0035
76.0	23.5	23.5048
76.14	23.5	23.5048
76.3	23.0	23.5048
76.4	23.0	23.5048
76.53	23.0	23.0053
76.69	23.0	23.0053
76.82	23.0	23.0053
76.95	23.0	23.0053
77.09	23.0	23.0053
77.22	23.0	23.0045
77.36	22.5	23.0045
77.5	22.5	23.0045
77.63	22.5	22.5044
77.76	22.5	22.5044
77.89	22.5	22.5044
78.01	22.5	22.5044
78.14	22.5	22.5044
78.33	22.0	22.5037
78.48	22.0	22.5037
78.61	22.0	22.5037
78.74	22.0	22.5037
78.87	22.0	22.5037
79.0	22.0	22.0037
79.15	22.0	22.0037
79.35	21.5	22.0037
79.48	21.5	21.6916
79.62	21.5	21.6916
79.76	21.5	21.6916
79.91	21.5	21.6916
80.04	21.5	21.6916
80.16	21.5	21.5031
80.26	21.5	21.5031
80.39	21.0	21.5031
80.51	21.0	21.5031
80.65	21.0	21.0035
80.79	21.0	21.0035
80.91	21.0	21.0035
81.02	21.0	21.0035
81.15	21.0	21.0035
81.27	21.0	21.0028
81.44	20.5	21.0028
81.57	20.5	21.0028
81.69	20.5	21.0028
81.82	20.5	21.0028
81.96	20.5	20.5033
82.1	20.5	20.5033
82.23	20.5	20.5033
82.43	20.0	20.5029
82.56	20.0	20.5029
82.69	20.0	20.5029
82.83	20.0	20.5029
82.95	20.0	20.5029
83.08	20.0	20.0042
83.2	20.0	20.0042
83.33	20.0	20.0042
83.46	19.5	20.0042
83.59	19.5	20.0042
83.73	19.5	20.0042
83.87	19.5	19.5048
84.02	19.5	19.5048
84.15	19.5	19.5048
84.28	19.5	19.5023
84.46	19.0	19.5023
84.6	19.0	19.5023
84.73	19.0	19.0054
84.86	19.0	19.0054
85.0	19.0	19.0054
85.13	19.0	19.0054
85.27	19.0	19.0054
85.4	19.0	19.005
85.59	18.5	19.005
85.72	18.5	19.005
85.86	18.5	19.005
85.99	18.5	19.005
86.12	18.5	18.5041
86.23	18.5	18.5041
86.37	18.5	18.5041
86.56	18.0	18.504
86.69	18.0	18.504
86.82	18.0	18.504
86.96	18.0	18.504
87.1	18.0	18.504
87.23	18.0	18.0059
87.38	18.0	18.0059
87.56	17.5	18.0059
87.69	17.5	18.0059
87.82	17.5	18.0059
87.94	17.5	17.505
88.07	17.5	17.505
88.19	17.5	17.505
88.32	17.5	17.505
88.46	17.5	17.504
88.61	17.0	17.504
88.75	17.0	17.504
88.88	17.0	17.0044
89.01	17.0	17.0044
89.15	17.0	17.0044
89.26	17.0	17.0044
89.39	17.0	17.0044
89.58	16.5	17.0041
89.72	16.5	17.0041
89.86	16.5	17.0041
90.0	16.5	17.0041
90.11	16.5	17.0041
90.24	16.5	16.5035
90.35	16.5	16.5035
90.48	16.5	16.5035
90.62	16.0	16.5035
90.75	16.0	16.1865
90.89	16.0	16.1865
91.02	16.0	16.1865
91.14	16.0	16.1865
91.27	16.0	16.1865
91.4	16.0	16.0022
91.52	16.0	16.0022
91.64	15.5	16.0022
91.77	15.5	16.0022
91.9	15.5	15.5019
92.03	15.5	15.5019
92.16	15.5	15.5019
92.3	15.5	15.5019
92.42	15.5	15.5019
92.56	15.5	15.5016
92.69	15.0	15.5016
92.82	15.0	15.5016
92.94	15.0	15.5016
93.07	15.0	15.5016
93.19	15.0	15.0028
93.31	15.0	15.0028
93.44	15.0	15.0028
93.54	15.0	15.0028
93.75	14.5	15.0028
93.89	14.5	15.0023
94.0	14.5	15.0023
94.13	14.5	15.0023
94.27	14.5	14.5035
94.41	14.5	14.5035
94.54	14.5	14.5035
94.73	14.0	14.5035
94.87	14.0	14.5035
95.02	14.0	14.0069
95.15	14.0	14.0069
95.28	14.0	14.0069
95.41	14.0	14.0069
95.55	14.0	14.0043
95.73	13.5	14.0043
95.88	13.5	14.0043
96.01	13.5	14.0043
96.14	13.5	13.5038
96.29	13.5	13.5038
96.42	13.5	13.5038
96.55	13.5	13.5038
96.74	13.0	13.5038
96.87	13.0	13.5034
97.0	13.0	13.5034
97.14	13.0	13.5034
97.27	13.0	13.0033
97.38	13.0	13.0033
97.51	13.0	13.0033
97.65	13.0	13.0033
97.83	12.5	13.0033
97.95	12.5	13.0031
98.08	12.5	13.0031
98.21	12.5	13.0031
98.33	12.5	13.0031
98.43	12.5	13.0031
98.56	12.5	12.5068
98.67	12.5	12.5068
98.79	12.0	12.5068
98.93	12.0	12.5068
99.07	12.0	12.0044
99.19	12.0	12.0044
99.32	12.0	12.0044
99.45	12.0	12.0044
99.58	12.0	12.0044
99.71	12.0	12.0036
99.85	11.5	12.0036
99.98	11.5	12.0036
100.11	11.5	12.0036
100.24	11.5	12.0036
100.38	11.5	11.5037
100.52	11.5	11.5037
100.66	11.5	11.5037
100.89	11.0	11.5037
101.02	11.0	11.5034
101.13	11.0	11.5034
101.26	11.0	11.5034
101.39	11.0	11.0027
101.5	11.0	11.0027
101.63	11.0	11.0027
101.76	11.0	11.0027
101.9	10.5	11.0027
102.04	10.5	11.0027
102.17	10.5	10.7546
102.3	10.5	10.7546
102.44	10.5	10.7546
102.57	10.5	10.5034
102.68	10.5	10.5034
102.89	10.0	10.5034
103.03	10.0	10.5034
103.16	10.0	10.5034
103.3	10.0	10.0046
103.43	10.0	10.0046
103.56	10.0	10.0046
103.68	10.0	10.0046
103.81	10.0	10.004
103.94	9.5	10.004
104.08	9.5	10.004
104.21	9.5	10.004
104.34	9.5	10.004
104.47	9.5	9.5053
104.61	9.5	9.5053
104.74	9.5	9.5053
104.95	9.0	9.5053
105.09	9.0	9.5053
105.22	9.0	9.5049
105.36	9.0	9.5049
105.48	9.0	9.5049
105.61	9.0	9.0037
105.72	9.0	9.0037
105.85	9.0	9.0037
105.98	8.5	9.0037
106.11	8.5	9.0037
106.25	8.5	8.5044
106.4	8.5	8.5044
106.53	8.5	8.5044
106.66	8.5	8.5044
106.79	8.5	8.5044
107.02	8.0	8.503
107.16	8.0	8.503
107.27	8.0	8.503
107.41	8.0	8.0048
107.51	8.0	8.0048
107.64	8.0	8.0048
107.77	8.0	8.0048
107.9	8.0	8.0048
108.04	7.5	8.0043
108.18	7.5	8.0043
108.32	7.5	8.0043
108.45	7.5	8.0043
108.58	7.5	8.0043
108.71	7.5	7.5041
108.83	7.5	7.5041
109.04	7.0	7.5041
109.18	7.0	7.2759
109.31	7.0	7.2759
109.44	7.0	7.2759
109.56	7.0	7.2759
109.69	7.0	7.2759
109.83	7.0	7.005
110.04	6.5	7.005
110.18	6.5	7.005
110.3	6.5	7.005
110.43	6.5	6.5054
110.58	6.5	6.5054
110.71	6.5	6.5054
110.84	6.5	6.5054
111.03	6.0	6.5048
111.16	6.0	6.5048
111.29	6.0	6.5048
111.43	6.0	6.0048
111.55	6.0	6.0048
111.68	6.0	6.0048
111.81	6.0	6.0048
111.93	6.0	6.0048
112.07	5.5	6.0048
112.2	5.5	6.0046
112.33	5.5	6.0046
112.46	5.5	6.0046
112.59	5.5	6.0046
112.73	5.5	5.5012
112.84	5.5	5.5012
112.97	5.5	5.5012
113.16	5.0	5.5012
113.28	5.0	5.046
113.41	5.0	5.046
113.53	5.0	5.046
113.67	5.0	5.046
113.8	5.0	5.046
113.93	5.0	5.0041
114.12	4.5	5.0041
114.26	4.5	5.0041
114.39	4.5	5.0041
114.53	4.5	5.0041
114.66	4.5	4.5043
114.79	4.5	4.5043
114.92	4.5	4.5043
115.05	4.5	4.5039
115.23	4.0	4.5039
115.37	4.0	4.5039
115.5	4.0	4.5039
115.64	4.0	4.5039
115.77	4.0	4.0031
115.89	4.0	4.0031
116.02	4.0	4.0031
116.22	3.5	4.0029
116.35	3.5	4.0029
116.48	3.5	4.0029
116.63	3.5	4.0029
116.76	3.5	4.0029
116.9	3.5	3.5039
117.05	3.5	3.5039
117.23	3.0	3.5039
117.37	3.0	3.5039
117.5	3.0	3.0049
117.63	3.0	3.0049
117.76	3.0	3.0049
117.88	3.0	3.0049
118.02	3.0	3.0049
118.14	3.0	3.0039
118.31	2.5	3.0039
118.43	2.5	3.0039
118.57	2.5	2.504
118.69	2.5	2.504
118.82	2.5	2.504
118.95	2.5	2.504
119.08	2.5	2.504
119.29	2.0	2.5036
119.43	2.0	2.5036
119.56	2.0	2.5036
119.67	2.0	2.5036
119.8	2.0	2.5036
119.93	2.0	2.0063
120.08	2.0	2.0063
120.21	2.0	2.0063
120.35	1.5	2.0063
120.48	1.5	1.9948
120.61	1.5	1.9948
120.75	1.5	1.9948
120.88	1.5	1.9948
121.01	1.5	1.9948
121.14	1.5	1.5062
121.33	1.0	1.5062
121.46	1.0	1.5062
121.59	1.0	1.0043
121.71	1.0	1.0043
121.84	1.0	1.0043
121.97	1.0	1.0043
122.1	1.0	1.0043
122.23	1.0	1.0037
122.4	0.5	1.0037
122.54	0.5	1.0037
122.66	0.5	1.0037
122.79	0.5	0.5034
122.94	0.5	0.5034
123.07	0.5	0.5034
123.2	0.5	0.5034
123.37	0.0	0.5034
123.5	0.0	0.5031
123.63	0.0	0.5031
123.74	0.0	0.5031
123.86	0.0	0.5031
124.0	0.0	0.0
124.13	0.0	0.0
124.26	0.0	0.0
124.37	0.0	0.0
