Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]
1185.43	18.8172523	18.217913211719132	18.5625	18.25
1188.59	18.8172771	18.21287733070203	18.5625	18.25
1191.78	18.8171668	18.217913211719132	18.5625	18.3125
1194.91	18.8175162	18.217913211719132	18.5625	18.25
1198.04	18.8177375	18.222949093027275	18.5625	18.25
1201.16	18.8178402	18.207841449975966	18.5625	18.25
1204.28	18.8175646	18.202805569540942	18.5625	18.25
1207.4	18.8182787	18.21287733070203	18.5625	18.25
1210.5	18.8181689	18.21287733070203	18.5625	18.3125
1213.64	18.8184576	18.21287733070203	18.5625	18.25
1216.75	18.8181872	18.21287733070203	18.5625	18.25
1219.95	18.8178272	18.21287733070203	18.5625	18.25
1223.01	18.818696	18.21287733070203	18.5625	18.25
1226.2	18.8190425	18.21287733070203	18.5625	18.3125
1229.3	18.8188896	18.207841449975966	18.5625	18.25
1232.51	18.8189646	18.207841449975966	18.5625	18.25
1235.63	18.8194226	18.197769689396956	18.5625	18.25
1238.76	18.8187751	18.202805569540942	18.5625	18.3125
1241.93	18.8195353	18.21287733070203	18.5625	18.25
1245.07	18.8194037	18.192733809544006	18.5625	18.25
1248.19	18.8189622	18.202805569540942	18.5625	18.25
1251.31	18.8196828	18.202805569540942	18.5625	18.25
1254.43	18.8194515	18.202805569540942	18.5625	18.25
1257.53	18.8197088	18.207841449975966	18.5625	18.25
1260.67	18.8202689	18.197769689396956	18.5625	18.25
1263.84	18.8199945	18.202805569540942	18.5625	18.25
1267.01	18.8198428	18.197769689396956	18.5625	18.25
1270.09	18.8200376	18.192733809544006	18.5625	18.25
1273.21	18.8199455	18.197769689396956	18.5625	18.3125
1276.35	18.8205209	18.192733809544006	18.5625	18.25
1279.47	18.8204708	18.192733809544006	18.5625	18.3125
1282.58	18.8206602	18.197769689396956	18.5625	18.3125
1285.7	18.8203923	18.197769689396956	18.5625	18.3125
1288.82	18.8206897	18.192733809544006	18.5625	18.3125
1291.96	18.8206726	18.182662050711222	18.5625	18.3125
1295.07	18.820672	18.187697929982097	18.5625	18.3125
1298.26	18.821002	18.182662050711222	18.5625	18.3125
1301.4	18.8208869	18.182662050711222	18.5625	18.25
1304.54	18.8216063	18.187697929982097	18.5625	18.3125
1307.62	18.8218017	18.192733809544006	18.5625	18.25
1310.76	18.8212215	18.187697929982097	18.5625	18.25
1313.95	18.8212841	18.182662050711222	18.5625	18.25
1317.07	18.8215715	18.187697929982097	18.5625	18.25
1320.17	18.8211802	18.187697929982097	18.5625	18.25
1323.31	18.8212091	18.182662050711222	18.5625	18.25
1326.4	18.8214972	18.17762617173139	18.5625	18.3125
1329.54	18.8210569	18.187697929982097	18.5625	18.3125
1332.65	18.8215261	18.182662050711222	18.5625	18.25
1335.79	18.8218141	18.182662050711222	18.5625	18.3125
1338.9	18.8218637	18.182662050711222	18.5625	18.3125
1342.02	18.8216919	18.182662050711222	18.5625	18.3125
1345.14	18.822497	18.182662050711222	18.5625	18.3125
1348.27	18.8219552	18.182662050711222	18.5625	18.3125
1351.37	18.822468	18.182662050711222	18.5625	18.25
1354.51	18.8219115	18.182662050711222	18.5625	18.3125
1357.62	18.8223689	18.17762617173139	18.5625	18.25
1360.71	18.8223258	18.17762617173139	18.5625	18.25
1363.86	18.8223825	18.182662050711222	18.5625	18.3125
1366.97	18.8227059	18.182662050711222	18.5625	18.25
1370.13	18.8225277	18.187697929982097	18.5625	18.25
1373.23	18.822157	18.182662050711222	18.5625	18.25
1376.33	18.8227726	18.182662050711222	18.5625	18.3125
1379.48	18.8225035	18.172590293042596	18.5625	18.3125
1382.57	18.8225702	18.17762617173139	18.5625	18.3125
1385.73	18.8224734	18.17762617173139	18.5625	18.25
1388.82	18.8227785	18.172590293042596	18.5625	18.25
1391.95	18.8225902	18.17762617173139	18.5625	18.25
1395.06	18.8226197	18.172590293042596	18.5625	18.25
1398.18	18.8228169	18.17762617173139	18.5625	18.25
1401.33	18.8225347	18.17762617173139	18.5625	18.25
1404.42	18.8229626	18.182662050711222	18.5625	18.25
1407.58	18.8233339	18.167554414644837	18.5625	18.25
1410.68	18.8234	18.172590293042596	18.5625	18.3125
1413.8	18.8234147	18.172590293042596	18.5625	18.25
1416.86	18.8227974	18.17762617173139	18.5625	18.3125
1420.01	18.8236148	18.172590293042596	18.5625	18.3125
1423.16	18.8237677	18.172590293042596	18.5625	18.3125
1426.28	18.8233357	18.172590293042596	18.5625	18.25
1429.39	18.8237488	18.172590293042596	18.5625	18.3125
1432.49	18.8231999	18.172590293042596	18.5625	18.3125
1435.64	18.8235056	18.182662050711222	18.5625	18.25
1438.83	18.8241897	18.16251853653812	18.5625	18.3125
1441.94	18.8238651	18.172590293042596	18.5625	18.25
1445.09	18.8234921	18.16251853653812	18.5625	18.3125
1448.19	18.8239011	18.16251853653812	18.5625	18.3125
1451.31	18.8233463	18.167554414644837	18.5625	18.25
1454.41	18.8240604	18.16251853653812	18.5625	18.3125
1457.53	18.8240179	18.167554414644837	18.5625	18.3125
1460.67	18.824133	18.172590293042596	18.5625	18.25
1463.95	18.8234637	18.16251853653812	18.5625	18.25
1467.16	18.8246046	18.16251853653812	18.5625	18.3125
1470.29	18.8236579	18.16251853653812	18.5625	18.3125
1473.47	18.8234744	18.167554414644837	18.5625	18.25
1476.59	18.8240256	18.172590293042596	18.5625	18.3125
1479.71	18.8241885	18.16251853653812	18.5625	18.3125
1482.82	18.8238279	18.172590293042596	18.5625	18.3125
1485.97	18.8242747	18.172590293042596	18.5625	18.3125
1489.07	18.8245367	18.167554414644837	18.5625	18.3125
1492.18	18.8242682	18.172590293042596	18.5625	18.3125
1495.37	18.8245373	18.172590293042596	18.5625	18.25
1498.46	18.8246034	18.16251853653812	18.5625	18.3125
1501.55	18.8242074	18.167554414644837	18.5625	18.3125
1504.69	18.8248738	18.16251853653812	18.5625	18.3125
1507.79	18.8242322	18.172590293042596	18.5625	18.3125
1510.91	18.8251116	18.16251853653812	18.5625	18.25
1514.0	18.8248354	18.157482658722436	18.625	18.25
1517.15	18.8250077	18.16251853653812	18.5625	18.3125
1520.33	18.8243231	18.167554414644837	18.5625	18.3125
1523.44	18.8250437	18.167554414644837	18.5625	18.25
1526.59	18.8249345	18.16251853653812	18.5625	18.25
1529.71	18.825245	18.16251853653812	18.5625	18.3125
1532.84	18.8256965	18.17762617173139	18.5625	18.3125
1535.96	18.8254587	18.172590293042596	18.5625	18.3125
1539.06	18.8254274	18.16251853653812	18.5625	18.25
1542.2	18.8259302	18.157482658722436	18.5625	18.3125
1545.32	18.8255861	18.16251853653812	18.625	18.3125
1548.43	18.8257077	18.167554414644837	18.5625	18.25
1551.51	18.82638	18.16251853653812	18.5625	18.3125
1554.64	18.8264839	18.157482658722436	18.5625	18.25
