Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: DS18B20 @GPIO [°C]	Sensor 6: OPUS20 @LAN [°C]
858.88	24.3316982	24.39283563234494	23.625	24.0	23.8125	24.028047561645508
863.31	24.3320662	24.45440316326567	23.6875	24.0	23.8125	24.028047561645508
867.71	24.3381045	24.469795052544214	23.6875	24.0	23.8125	24.028047561645508
872.12	24.3472145	24.49031757565681	23.625	24.0	23.75	24.028047561645508
876.51	24.352225	24.459533792734145	23.6875	24.0	23.75	24.028047561645508
880.99	24.3575266	24.423619392566614	23.6875	24.0	23.75	24.028047561645508
885.38	24.3193944	24.2953537940979	23.6875	24.0	23.75	24.028047561645508
889.76	24.3004891	24.321006899239727	23.6875	24.0	23.75	24.028047561645508
894.14	24.3093656	24.346660011657512	23.6875	24.0	23.75	24.028047561645508
898.57	24.3091346	24.346660011657512	23.625	23.9375	23.75	24.05449676513672
902.96	24.3063247	24.336398765817286	23.625	23.9375	23.75	24.05449676513672
907.37	24.3096354	24.372313131351255	23.625	23.9375	23.75	24.05449676513672
911.79	24.3210666	24.41335813799524	23.6875	23.9375	23.75	24.05449676513672
916.26	24.3243754	24.459533792734145	23.6875	23.9375	23.75	24.05449676513672
920.69	24.3276816	24.49031757565681	23.6875	23.9375	23.75	24.05449676513672
925.07	24.3335384	24.49031757565681	23.625	23.9375	23.75	24.05449676513672
929.46	24.326282	24.43901127660647	23.625	23.9375	23.75	24.05449676513672
933.83	24.3097625	24.397966258320956	23.6875	23.9375	23.75	24.05449676513672
938.28	24.2763036	24.26457007753197	23.625	23.9375	23.75	24.05449676513672
942.65	24.2011306	24.079867998161355	23.6875	23.9375	23.75	24.05449676513672
947.04	24.1458167	24.03882314285729	23.625	23.9375	23.6875	24.05449676513672
951.46	24.101522	23.98751709992066	23.5625	23.875	23.6875	24.05449676513672
956.03	24.0837622	23.98751709992066	23.5625	23.875	23.6875	24.096006393432617
