Time [s]	Voltage set [V]	Voltage measured [V]
107.83	8.0	8.5015
107.95	8.0	8.5015
108.08	8.0	8.5015
108.21	8.0	8.0032
108.33	8.0	8.0032
108.46	8.0	8.0032
108.59	7.5	8.0032
108.71	7.5	8.0015
108.84	7.5	8.0015
108.98	7.5	8.0015
109.11	7.5	8.0015
109.24	7.5	7.5027
109.36	7.5	7.5027
109.49	7.5	7.5027
109.68	7.0	7.5027
109.81	7.0	7.5027
109.94	7.0	7.0071
110.07	7.0	7.0071
110.2	7.0	7.0071
110.32	7.0	7.0071
110.45	7.0	7.0037
110.63	6.5	7.0037
110.75	6.5	7.0037
110.88	6.5	7.0037
110.98	6.5	7.0037
111.11	6.5	6.5038
111.26	6.5	6.5038
111.39	6.5	6.5038
111.52	6.5	6.5038
111.66	6.0	6.5038
111.79	6.0	6.5035
111.93	6.0	6.5035
112.05	6.0	6.5035
112.18	6.0	6.5035
112.32	6.0	6.0035
112.45	6.0	6.0035
112.63	5.5	6.0035
112.76	5.5	6.0035
112.88	5.5	5.5022
113.0	5.5	5.5022
113.13	5.5	5.5022
113.26	5.5	5.5022
113.39	5.5	5.5022
113.52	5.5	5.5
113.7	5.0	5.5
113.83	5.0	5.5
113.96	5.0	5.0035
114.09	5.0	5.0035
114.22	5.0	5.0035
114.35	5.0	5.0035
114.47	5.0	5.0035
114.59	5.0	5.0029
114.78	4.5	5.0029
114.9	4.5	5.0029
115.02	4.5	5.0029
115.15	4.5	5.0029
115.28	4.5	4.5031
115.43	4.5	4.5031
115.56	4.5	4.5031
115.69	4.5	4.5031
115.83	4.0	4.5031
115.96	4.0	4.5028
116.06	4.0	4.5028
116.19	4.0	4.5028
116.32	4.0	4.0022
116.42	4.0	4.0022
116.55	4.0	4.0022
116.65	4.0	4.0022
116.81	3.5	4.0022
116.96	3.5	4.0022
117.09	3.5	3.5117
117.2	3.5	3.5117
117.33	3.5	3.5117
117.46	3.5	3.5117
117.59	3.5	3.5117
117.72	3.5	3.503
117.91	3.0	3.503
118.03	3.0	3.503
118.16	3.0	3.0041
118.28	3.0	3.0041
118.4	3.0	3.0041
118.54	3.0	3.0041
118.66	3.0	3.0041
118.78	3.0	3.003
118.98	2.5	3.003
119.11	2.5	3.003
119.23	2.5	3.003
119.35	2.5	3.003
119.48	2.5	2.5035
119.59	2.5	2.5035
119.71	2.5	2.5035
119.84	2.5	2.5035
119.98	2.5	2.5035
120.12	2.0	2.5028
120.26	2.0	2.5028
120.39	2.0	2.5028
120.52	2.0	2.0058
120.62	2.0	2.0058
120.75	2.0	2.0058
120.88	2.0	2.0058
121.01	2.0	2.0058
121.14	1.5	2.0058
121.27	1.5	2.0055
121.41	1.5	2.0055
121.54	1.5	2.0055
121.66	1.5	2.0055
121.8	1.5	1.5056
121.93	1.5	1.5056
122.13	1.0	1.5056
122.27	1.0	1.5056
122.4	1.0	1.0052
122.55	1.0	1.0052
122.69	1.0	1.0052
